PS_PARTKEY,VALUE
133936,9026949.020
33182,9024971.100
34220,9021485.390
20118,9019942.600
178258,9019881.660
15560,9017687.280
111425,9016198.560
95942,9015585.120
132709,9015240.150
39731,9014746.950
154307,9012571.200
23769,9008157.600
93328,9007211.200
142826,8998297.440
188792,8996014.000
68703,8994982.220
145280,8990941.050
150725,8985686.160
172046,8982469.520
70476,8967629.500
124988,8966805.220
17937,8963319.760
177372,8954873.640
137994,8950916.790
84019,8950039.980
40389,8946158.200
69187,8941054.140
4863,8939044.920
50465,8930503.140
43686,8915543.840
131352,8909053.590
198916,8906940.030
135932,8905282.950
104673,8903682.000
152308,8903244.080
135298,8900323.200
156873,8899429.100
157454,8897339.200
75415,8897068.090
46325,8895569.090
1966,8895117.060
24576,8895034.750
19425,8890156.600
169735,8890085.560
32225,8889829.280
124537,8889770.710
146327,8887836.230
121562,8887740.400
44731,8882444.950
93141,8881850.880
187871,8873506.180
71709,8873057.280
151913,8869321.170
33786,8868955.390
35902,8868126.060
23588,8867769.900
24508,8867616.000
161282,8866661.430
188061,8862304.000
132847,8862082.000
166843,8861200.800
30609,8860214.730
56191,8856546.960
160740,8852685.430
71229,8846106.990
91208,8845541.280
10995,8845306.560
78094,8839938.290
36489,8838538.100
198437,8836494.840
151693,8833807.640
185367,8829791.370
65682,8820622.890
65421,8819329.240
122225,8816821.860
85330,8811013.160
64555,8810643.120
104188,8808211.020
54411,8805703.400
39438,8805282.560
70795,8800060.920
20383,8799073.280
21952,8798624.190
63584,8796590.000
158768,8796422.950
166588,8796214.380
120600,8793558.060
157202,8788287.880
55358,8786820.750
168322,8786670.730
25143,8786324.800
5368,8786274.140
114025,8786201.120
97744,8785315.940
164327,8784503.860
76542,8782613.280
4731,8772846.700
157590,8772006.450
154276,8771733.910
28705,8771576.640
100226,8769455.000
179195,8769185.160
184355,8768118.050
120408,8768011.120
63145,8761991.960
53135,8753491.800
173071,8750508.800
41087,8749436.790
194830,8747438.400
43496,8743359.300
30235,8741611.000
26391,8741399.640
191816,8740258.720
47616,8737229.680
152101,8734432.760
163784,8730514.340
5134,8728424.640
155241,8725429.860
188814,8724182.400
140782,8720378.750
153141,8719407.510
169373,8718609.060
41335,8714773.800
197450,8714617.320
87004,8714017.790
181804,8712257.760
122814,8711119.140
109939,8709193.160
98094,8708780.040
74630,8708040.750
197291,8706519.090
184173,8705467.450
192175,8705411.120
19471,8702536.120
18052,8702155.700
135560,8698137.720
152791,8697325.800
170953,8696909.190
116137,8696687.170
7722,8696589.400
49788,8694846.710
13252,8694822.420
12633,8694559.360
193438,8690426.720
17326,8689329.160
96124,8679794.580
143802,8676626.480
30389,8675826.600
75250,8675257.140
72613,8673524.940
123520,8672456.250
325,8667741.280
167291,8667556.180
150119,8663403.540
88420,8663355.400
179784,8653021.340
130884,8651970.000
172611,8648217.000
85373,8647796.220
122717,8646758.540
113431,8646348.340
66015,8643349.400
33141,8643243.180
69786,8637396.920
181857,8637393.280
122939,8636378.000
196223,8635391.020
50532,8632648.240
58102,8632614.540
93581,8632372.360
52804,8632109.250
755,8627091.680
16597,8623357.050
119041,8622397.000
89050,8621185.980
98696,8620784.820
94399,8620524.000
151295,8616671.020
56417,8613450.350
121322,8612948.230
126883,8611373.420
29155,8610163.640
114530,8608471.740
131007,8607394.820
128715,8606833.620
72522,8601479.980
144061,8595718.740
83503,8595034.200
112199,8590717.440
9227,8587350.420
116318,8585910.660
41248,8585559.640
159398,8584821.000
105966,8582308.790
137876,8580641.300
122272,8580400.770
195717,8577278.100
165295,8571121.920
5840,8570728.740
120860,8570610.440
66692,8567540.520
135596,8563276.310
150576,8562794.100
7500,8562393.840
107716,8561541.560
100611,8559995.850
171192,8557390.080
107660,8556696.600
13461,8556545.120
90310,8555131.510
141493,8553782.930
71286,8552682.000
136423,8551300.760
54241,8550785.250
120325,8549976.600
424,8547527.100
196543,8545907.090
13042,8542717.180
58332,8536074.690
9191,8535663.920
134357,8535429.900
96207,8534900.600
92292,8530618.780
181093,8528303.520
105064,8527491.600
59635,8526854.080
136974,8524351.560
126694,8522783.370
6247,8522606.900
139447,8522521.920
96313,8520949.920
108454,8520916.250
181254,8519496.100
71117,8519223.000
131703,8517215.280
59312,8510568.360
2903,8509960.350
102838,8509527.690
162806,8508906.050
41527,8508222.360
118416,8505858.360
180203,8505024.160
14773,8500598.280
140446,8499514.240
199641,8497362.590
109240,8494617.120
150268,8494188.380
45310,8492380.650
36552,8490733.600
199690,8490145.800
185353,8488726.680
163615,8484985.010
196520,8483545.040
133438,8483482.350
77285,8481442.320
55824,8476893.900
76753,8475522.120
46129,8472717.960
28358,8472515.500
9317,8472145.320
33823,8469721.440
39055,8469145.070
91471,8468874.560
142299,8466039.550
97672,8464119.800
134712,8461781.790
157988,8460123.200
102284,8458652.440
73533,8458453.320
90599,8457874.860
112160,8457863.360
124792,8457633.700
66097,8457573.150
165271,8456969.010
146925,8454887.910
164277,8454838.500
131290,8454811.200
179386,8450909.900
90486,8447873.860
175924,8444421.660
185922,8442394.880
38492,8436438.320
172511,8436287.340
139539,8434180.290
11926,8433199.520
55889,8431449.880
163068,8431116.400
138772,8428406.360
126821,8425180.680
22091,8420687.880
55981,8419434.380
100960,8419403.460
172568,8417955.210
63135,8415945.530
137651,8413170.350
191353,8413039.840
62988,8411571.480
103417,8411541.120
12052,8411519.280
104260,8408516.550
157129,8405730.080
77254,8405537.220
112966,8403512.890
168114,8402764.560
49940,8402328.200
52017,8398753.600
176179,8398087.000
100215,8395906.610
61256,8392811.200
15366,8388907.800
109479,8388027.200
66202,8386522.830
81707,8385761.190
51727,8385426.400
9980,8382754.620
174403,8378575.730
54558,8378041.920
3141,8377378.220
134829,8377105.520
145056,8376920.760
194020,8375157.640
7117,8373982.270
120146,8373796.200
126843,8370761.280
62117,8369493.440
111221,8367525.810
159337,8366092.260
173903,8365428.480
136438,8364065.450
56684,8363198.000
137597,8363185.940
20039,8361138.240
121326,8359635.520
48435,8352863.100
1712,8349107.000
167190,8347238.700
32113,8346452.040
40580,8342983.320
74785,8342519.130
14799,8342236.750
177291,8341736.830
198956,8340370.650
69179,8338465.990
118764,8337616.560
128814,8336435.560
82729,8331766.880
152048,8330638.990
171085,8326259.500
126730,8325974.400
77525,8323282.500
170653,8322840.500
5257,8320350.780
67350,8318987.560
109008,8317836.540
199043,8316603.540
139969,8316551.540
22634,8316531.240
173309,8315750.250
10887,8315019.360
42392,8312895.960
126040,8312623.200
101590,8304555.420
46891,8302192.120
138721,8301745.620
113715,8301533.200
78778,8299685.640
142908,8299447.770
64419,8297631.800
21396,8296272.270
4180,8295646.920
63534,8295383.670
135957,8294389.860
30126,8291920.320
158427,8288938.000
14545,8288395.920
75548,8288287.200
64473,8286137.440
149553,8285714.880
151284,8283526.650
171091,8282934.360
194256,8278985.340
952,8276136.000
121541,8275390.260
177664,8275315.200
51117,8274504.300
66770,8273407.800
37238,8272728.060
46679,8270486.550
165852,8268312.600
99458,8266564.470
114519,8265493.540
7231,8264881.500
19033,8264826.560
125123,8262732.650
18642,8261578.990
50386,8261380.050
193770,8259578.820
7276,8258101.600
178045,8253904.150
49033,8253696.230
187195,8251334.580
10590,8249227.400
143779,8247057.700
35205,8245675.170
19729,8245081.600
144946,8240479.800
123786,8239581.240
70843,8237973.200
112437,8236907.520
5436,8236039.570
163754,8235471.160
115945,8234811.360
27918,8233957.880
105712,8233571.860
41007,8229431.790
40476,8226640.410
145620,8221371.600
7771,8220413.330
86424,8215572.610
129137,8215478.400
76020,8210495.360
140213,8209831.800
32379,8208338.880
130616,8207715.750
195469,8206609.800
191805,8205147.750
90906,8200951.200
170910,8195558.010
105399,8193122.630
123798,8192385.970
90218,8191689.160
114766,8189339.540
11289,8187354.720
178308,8185750.500
71271,8185519.240
1115,8184903.380
152636,8184530.720
151619,8182909.050
116943,8181072.690
28891,8181051.540
47049,8180955.000
158827,8180470.900
92620,8179671.550
20814,8176953.540
179323,8176795.550
193453,8174343.940
56888,8173342.000
28087,8169876.300
164254,8169632.350
57661,8168848.160
7363,8167538.050
164499,8167512.080
197557,8165940.450
5495,8164805.220
966,8163824.790
98435,8161771.450
127227,8161344.920
194100,8160978.780
40134,8160358.080
107341,8159952.050
6790,8158792.660
43851,8157101.400
51295,8156419.200
69512,8151537.000
164274,8149869.930
130854,8145338.850
186865,8143586.820
176629,8141411.200
193739,8141377.770
6810,8139822.600
27732,8136724.960
50616,8134089.820
123908,8128920.540
140994,8128470.820
99039,8128290.780
62735,8124940.500
47829,8122796.500
192635,8122687.570
192429,8119268.000
145812,8119165.630
42896,8118529.800
146877,8118266.160
60882,8116095.040
18254,8114783.040
165464,8114571.800
57936,8111927.250
52226,8110723.320
128571,8106788.800
100308,8105837.040
8872,8102395.620
58867,8102033.190
145153,8100222.840
172088,8098138.200
59398,8095845.450
89395,8093576.100
171961,8093538.000
88736,8090762.160
174053,8090350.110
102237,8089103.220
43041,8086537.900
110219,8085296.900
126738,8084199.200
44787,8083628.400
31277,8083580.760
93595,8082188.800
189040,8080257.210
59851,8079024.240
175100,8077904.010
43429,8076729.960
154199,8074940.760
60963,8073894.400
8768,8072760.960
66095,8071421.700
111552,8068184.480
24563,8067500.400
16167,8067495.240
12662,8067248.850
94540,8063727.160
23308,8063463.180
27390,8062823.250
130660,8062787.480
8608,8062411.160
181552,8062008.300
199319,8060248.560
55475,8058850.920
142711,8057926.580
103499,8056978.000
105943,8056698.750
8432,8053052.160
149392,8049675.690
101248,8048855.490
140962,8047260.700
87101,8046651.830
133107,8046476.730
45126,8045924.400
87508,8042966.390
124711,8042722.720
173169,8042224.410
175161,8041331.980
167787,8040075.780
3242,8038855.530
114789,8038628.350
43833,8038545.830
141198,8035110.720
137248,8034109.350
96673,8033491.200
32180,8032380.720
166493,8031902.400
66959,8031839.400
85628,8029693.440
110971,8029469.700
130395,8027463.920
7757,8026840.370
178446,8025379.090
41295,8024785.530
100956,8024179.300
131917,8021604.780
24224,8020463.520
2073,8020009.640
121622,8018462.170
14357,8016906.300
135601,8016209.440
58458,8016192.520
73036,8015799.000
184722,8015680.310
151664,8014821.960
195090,8012680.200
162609,8011241.000
83532,8009753.850
50166,8007137.890
181562,8006805.960
175165,8005319.760
62500,8005316.280
36342,8004333.400
128435,8004242.880
92516,8003836.800
30802,8003710.880
107418,8000430.300
46620,7999778.350
191803,7994734.150
106343,7993087.760
59362,7990397.460
8329,7990052.900
75133,7988244.000
179023,7986829.620
135899,7985726.640
5824,7985340.020
148579,7984889.560
95888,7984735.720
9791,7982699.790
170437,7982370.720
39782,7977858.240
20605,7977556.000
28682,7976960.000
42172,7973399.000
56137,7971405.400
64729,7970769.720
98643,7968603.730
153787,7967535.580
8932,7967222.190
20134,7965713.280
197635,7963507.580
80408,7963312.170
37728,7961875.680
26624,7961772.310
44736,7961144.100
29763,7960605.030
36147,7959463.680
146040,7957587.660
115469,7957485.140
142276,7956790.630
181280,7954037.350
115096,7953047.550
109650,7952258.730
93862,7951992.240
158325,7950728.300
55952,7950387.060
122397,7947106.270
28114,7946945.720
11966,7945197.480
47814,7944083.000
85096,7943691.060
51657,7943593.770
196680,7943578.890
13141,7942730.340
193327,7941036.250
152612,7940663.710
139680,7939242.360
31134,7938318.300
45636,7937240.850
56694,7936015.950
8114,7933921.880
71518,7932261.690
72922,7930400.640
146699,7929167.400
92387,7928972.670
186289,7928786.190
95952,7927972.780
196514,7927180.700
4403,7925729.040
2267,7925649.370
45924,7925047.680
11493,7916722.230
104478,7916253.600
166794,7913842.000
161995,7910874.270
23538,7909752.060
41093,7909579.920
112073,7908617.570
92814,7908262.500
88919,7907992.500
79753,7907933.880
108765,7905338.980
146530,7905336.600
71475,7903367.580
36289,7901946.500
61739,7900794.000
52338,7898638.080
194299,7898421.240
105235,7897829.940
77207,7897752.720
96712,7897575.270
10157,7897046.250
171154,7896814.500
79373,7896186.000
113808,7893353.880
27901,7892952.000
128820,7892882.720
25891,7890511.200
122819,7888881.020
154731,7888301.330
101674,7879324.600
51968,7879102.210
72073,7877736.110
5182,7874521.730
