S_ACCTBAL,S_NAME,N_NAME,P_PARTKEY,S_ADDRESS,S_PHONE,S_COMMENT,P_MFGR
8996.14,Supplier#000009814,ROMANIA,139813,af0O5pg83lPU4IDVmEylXZVqYZQzSDlYLAmR,29-995-571-8781, dependencies boost quickly across the furiously pending requests! unusual dolphins play sl,Manufacturer#2
8968.42,Supplier#000010000,ROMANIA,119999,aTGLEusCiL4F PDBdv665XBJhPyCOB0i,29-578-432-2146,ly regular foxes boost slyly. quickly special waters boost carefully ironi,Manufacturer#5
8936.82,Supplier#000007043,UNITED KINGDOM,109512,"FVajceZInZdbJE6Z9XsRUxrUEpiwHDrOXi,1Rz",33-784-177-8208,efully regular courts. furiousl,Manufacturer#1
8929.42,Supplier#000008770,FRANCE,173735,R7cG26TtXrHAP9 HckhfRi,16-242-746-9248,cajole furiously unusual requests. quickly stealthy requests are. ,Manufacturer#4
8920.59,Supplier#000003967,ROMANIA,26460,eHoAXe62SY9,29-194-731-3944,"aters. express, pending instructions sleep. brave, r",Manufacturer#1
8920.59,Supplier#000003967,ROMANIA,173966,eHoAXe62SY9,29-194-731-3944,"aters. express, pending instructions sleep. brave, r",Manufacturer#2
8913.96,Supplier#000004603,UNITED KINGDOM,137063,"OUzlvMUr7n,utLxmPNeYKSf3T24OXskxB5",33-789-255-7342, haggle slyly above the furiously regular pinto beans. even ,Manufacturer#2
8877.82,Supplier#000007967,FRANCE,167966,"A3pi1BARM4nx6R,qrwFoRPU",16-442-147-9345,"ously foxes. express, ironic requests im",Manufacturer#5
8862.24,Supplier#000003323,ROMANIA,73322,W9 lYcsC9FwBqk3ItL,29-736-951-3710,ly pending ideas sleep about the furiously unu,Manufacturer#3
8841.59,Supplier#000005750,ROMANIA,100729,Erx3lAgu0g62iaHF9x50uMH4EgeN9hEG,29-344-502-5481,gainst the pinto beans. fluffily unusual dependencies affix slyly even deposits.,Manufacturer#5
8781.71,Supplier#000003121,ROMANIA,13120,"wNqTogx238ZYCamFb,50v,bj 4IbNFW9Bvw1xP",29-707-291-5144,s wake quickly ironic ideas,Manufacturer#5
8754.24,Supplier#000009407,UNITED KINGDOM,179406,CHRCbkaWcf5B,33-903-970-9604,e ironic requests. carefully even foxes above the furious,Manufacturer#4
8691.06,Supplier#000004429,UNITED KINGDOM,126892,"k,BQms5UhoAF1B2Asi,fLib",33-964-337-5038,efully express deposits kindle after the deposits. final ,Manufacturer#2
8655.99,Supplier#000006330,RUSSIA,193810,UozlaENr0ytKe2w6CeIEWFWn iO3S8Rae7Ou,32-561-198-3705,"symptotes use about the express dolphins. requests use after the express platelets. final, ex",Manufacturer#2
8638.36,Supplier#000002920,RUSSIA,75398,Je2a8bszf3L,32-122-621-7549,ly quickly ironic requests. even requests whithout t,Manufacturer#1
8638.36,Supplier#000002920,RUSSIA,170402,Je2a8bszf3L,32-122-621-7549,ly quickly ironic requests. even requests whithout t,Manufacturer#3
8607.69,Supplier#000006003,UNITED KINGDOM,76002,"EH9wADcEiuenM0NR08zDwMidw,52Y2RyILEiA",33-416-807-5206,"ar, pending accounts. pending depende",Manufacturer#2
8569.52,Supplier#000005936,RUSSIA,5935,jXaNZ6vwnEWJ2ksLZJpjtgt0bY2a3AU,32-644-251-7916,". regular foxes nag carefully atop the regular, silent deposits. quickly regular packages ",Manufacturer#5
8564.12,Supplier#000000033,GERMANY,110032,gfeKpYw3400L0SDywXA6Ya1Qmq1w6YB9f3R,17-138-897-9374,n sauternes along the regular asymptotes are regularly along the ,Manufacturer#1
8553.82,Supplier#000003979,ROMANIA,143978,BfmVhCAnCMY3jzpjUMy4CNWs9 HzpdQR7INJU,29-124-646-4897,ic requests wake against the blithely unusual accounts. fluffily r,Manufacturer#4
8517.23,Supplier#000009529,RUSSIA,37025,e44R8o7JAIS9iMcr,32-565-297-8775,ove the even courts. furiously special platelets ,Manufacturer#5
8517.23,Supplier#000009529,RUSSIA,59528,e44R8o7JAIS9iMcr,32-565-297-8775,ove the even courts. furiously special platelets ,Manufacturer#2
8503.70,Supplier#000006830,RUSSIA,44325,BC4WFCYRUZyaIgchU 4S,32-147-878-5069,pades cajole. furious packages among the carefully express excuses boost furiously across th,Manufacturer#4
8457.09,Supplier#000009456,UNITED KINGDOM,19455,7SBhZs8gP1cJjT0Qf433YBk,33-858-440-4349,cing requests along the furiously unusual deposits promise among the furiously unus,Manufacturer#1
8441.40,Supplier#000003817,FRANCE,141302,hU3fz3xL78,16-339-356-5115,ely even ideas. ideas wake slyly furiously unusual instructions. pinto beans sleep ag,Manufacturer#2
8432.89,Supplier#000003990,RUSSIA,191470,wehBBp1RQbfxAYDASS75MsywmsKHRVdkrvNe6m,32-839-509-9301,ep furiously. packages should have to haggle slyly across the deposits. furiously regu,Manufacturer#1
8431.40,Supplier#000002675,ROMANIA,5174,HJFStOu9R5NGPOegKhgbzBdyvrG2yh8w,29-474-643-1443,ithely express pinto beans. blithely even foxes haggle. furiously regular theodol,Manufacturer#1
8407.04,Supplier#000005406,RUSSIA,162889,j7 gYF5RW8DC5UrjKC,32-626-152-4621,r the blithely regular packages. slyly ironic theodoli,Manufacturer#4
8386.08,Supplier#000008518,FRANCE,36014,"2jqzqqAVe9crMVGP,n9nTsQXulNLTUYoJjEDcqWV",16-618-780-7481,blithely bold pains are carefully platelets. finally regular pinto beans sleep carefully special,Manufacturer#3
8376.52,Supplier#000005306,UNITED KINGDOM,190267,"9t8Y8 QqSIsoADPt6NLdk,TP5zyRx41oBUlgoGc9",33-632-514-7931,"ly final accounts sleep special, regular requests. furiously regular",Manufacturer#5
8348.74,Supplier#000008851,FRANCE,66344,nWxi7GwEbjhw1,16-796-240-2472," boldly final deposits. regular, even instructions detect slyly. fluffily unusual pinto bea",Manufacturer#4
8338.58,Supplier#000007269,FRANCE,17268,"ZwhJSwABUoiB04,3",16-267-277-4365,iously final accounts. even pinto beans cajole slyly regular,Manufacturer#4
8328.46,Supplier#000001744,ROMANIA,69237,"oLo3fV64q2,FKHa3p,qHnS7Yzv,ps8",29-330-728-5873,"ep carefully-- even, careful packages are slyly along t",Manufacturer#5
8307.93,Supplier#000003142,GERMANY,18139,dqblvV8dCNAorGlJ,17-595-447-6026,olites wake furiously regular decoys. final requests nod ,Manufacturer#1
8231.61,Supplier#000009558,RUSSIA,192000,"mcdgen,yT1iJDHDS5fV",32-762-137-5858, foxes according to the furi,Manufacturer#2
8152.61,Supplier#000002731,ROMANIA,15227, nluXJCuY1tu,29-805-463-2030," special requests. even, regular warhorses affix among the final gr",Manufacturer#4
8109.09,Supplier#000009186,FRANCE,99185,wgfosrVPexl9pEXWywaqlBMDYYf,16-668-570-1402,tions haggle slyly about the sil,Manufacturer#1
8102.62,Supplier#000003347,UNITED KINGDOM,18344,m CtXS2S16i,33-454-274-8532,egrate with the slyly bold instructions. special foxes haggle silently among the,Manufacturer#5
8046.07,Supplier#000008780,FRANCE,191222,"AczzuE0UK9osj ,Lx0Jmh",16-473-215-6395,onic platelets cajole after the regular instructions. permanently bold excuses,Manufacturer#3
8042.09,Supplier#000003245,RUSSIA,135705,Dh8Ikg39onrbOL4DyTfGw8a9oKUX3d9Y,32-836-132-8872,osits. packages cajole slyly. furiously regular deposits cajole slyly. q,Manufacturer#4
8042.09,Supplier#000003245,RUSSIA,150729,Dh8Ikg39onrbOL4DyTfGw8a9oKUX3d9Y,32-836-132-8872,osits. packages cajole slyly. furiously regular deposits cajole slyly. q,Manufacturer#1
7992.40,Supplier#000006108,FRANCE,118574,8tBydnTDwUqfBfFV4l3,16-974-998-8937, ironic ideas? fluffily even instructions wake. blithel,Manufacturer#1
7980.65,Supplier#000001288,FRANCE,13784,"zE,7HgVPrCn",16-646-464-8247,ully bold courts. escapades nag slyly. furiously fluffy theodo,Manufacturer#4
7950.37,Supplier#000008101,GERMANY,33094,kkYvL6IuvojJgTNG IKkaXQDYgx8ILohj,17-627-663-8014,arefully unusual requests x-ray above the quickly final deposits. ,Manufacturer#5
7937.93,Supplier#000009012,ROMANIA,83995,"iUiTziH,Ek3i4lwSgunXMgrcTzwdb",29-250-925-9690,to the blithely ironic deposits nag sly,Manufacturer#2
7914.45,Supplier#000001013,RUSSIA,125988,riRcntps4KEDtYScjpMIWeYF6mNnR,32-194-698-3365, busily bold packages are dolphi,Manufacturer#2
7912.91,Supplier#000004211,GERMANY,159180,"2wQRVovHrm3,v03IKzfTd,1PYsFXQFFOG",17-266-947-7315,ay furiously regular platelets. cou,Manufacturer#5
7912.91,Supplier#000004211,GERMANY,184210,"2wQRVovHrm3,v03IKzfTd,1PYsFXQFFOG",17-266-947-7315,ay furiously regular platelets. cou,Manufacturer#4
7894.56,Supplier#000007981,GERMANY,85472,NSJ96vMROAbeXP,17-963-404-3760,ic platelets affix after the furiously,Manufacturer#4
7887.08,Supplier#000009792,GERMANY,164759,Y28ITVeYriT3kIGdV2K8fSZ V2UqT5H1Otz,17-988-938-4296,ckly around the carefully fluffy theodolites. slyly ironic pack,Manufacturer#3
7871.50,Supplier#000007206,RUSSIA,104695,3w fNCnrVmvJjE95sgWZzvW,32-432-452-7731,"ironic requests. furiously final theodolites cajole. final, express packages sleep. quickly reg",Manufacturer#1
7852.45,Supplier#000005864,RUSSIA,8363,"WCNfBPZeSXh3h,c",32-454-883-3821,usly unusual pinto beans. brave ideas sleep carefully quickly ironi,Manufacturer#4
7850.66,Supplier#000001518,UNITED KINGDOM,86501,ONda3YJiHKJOC,33-730-383-3892,ifts haggle fluffily pending pai,Manufacturer#1
7843.52,Supplier#000006683,FRANCE,11680,2Z0JGkiv01Y00oCFwUGfviIbhzCdy,16-464-517-8943," express, final pinto beans x-ray slyly asymptotes. unusual, unusual",Manufacturer#4
